"","log_prior","log_likelihood","log_posterior","time_shift","beta_0","beta_1","wane","log_delta","sigma_2"
"1",-11.8228465991368,-41482.2309961933,-41494.0538427924,0.424355550026093,0.603634096621958,0.227249338726267,0.730748961899428,-5.82673697489105,0.744034164174519
"2",-8.02422999538159,-41463.0477484895,-41471.0719784849,0.440842690656077,0.118035209301628,0.55951987920897,0.577239441263522,-6.77626583658033,0.0137962351546701
"3",-8.02422999538159,-41463.0477484895,-41471.0719784849,0.440842690656077,0.118035209301628,0.55951987920897,0.577239441263522,-6.77626583658033,0.0137962351546701
"4",-8.02422999538159,-41463.0477484895,-41471.0719784849,0.440842690656077,0.118035209301628,0.55951987920897,0.577239441263522,-6.77626583658033,0.0137962351546701
"5",-8.02422999538159,-41463.0477484895,-41471.0719784849,0.440842690656077,0.118035209301628,0.55951987920897,0.577239441263522,-6.77626583658033,0.0137962351546701
"6",-8.02422999538159,-41489.5371911577,-41497.561421153,0.440842690656077,0.118035209301628,0.55951987920897,0.577239441263522,-6.77626583658033,0.0137962351546701
"7",-8.02422999538159,-41489.5371911577,-41497.561421153,0.440842690656077,0.118035209301628,0.55951987920897,0.577239441263522,-6.77626583658033,0.0137962351546701
"8",-16.7939672058825,-41474.20210108,-41490.9960682859,0.707827401967158,0.712301158782381,0.566074418943237,0.706896078866789,-6.22206452138029,1.47876217747267
"9",-12.2109970016747,-41454.3898518634,-41466.600848865,0.239717035203833,0.534335973512362,0.647956380075679,0.212065200532959,-6.32521902201131,2.80493299797894
"10",-12.2109970016747,-41454.3898518634,-41466.600848865,0.239717035203833,0.534335973512362,0.647956380075679,0.212065200532959,-6.32521902201131,2.80493299797894
"11",-12.2109970016747,-41454.3898518634,-41466.600848865,0.239717035203833,0.534335973512362,0.647956380075679,0.212065200532959,-6.32521902201131,2.80493299797894
"12",-12.2109970016747,-41454.3898518634,-41466.600848865,0.239717035203833,0.534335973512362,0.647956380075679,0.212065200532959,-6.32521902201131,2.80493299797894
"13",-12.2109970016747,-41454.3898518634,-41466.600848865,0.239717035203833,0.534335973512362,0.647956380075679,0.212065200532959,-6.32521902201131,2.80493299797894
"14",-13.5496602430216,-41433.8836171167,-41447.4332773597,0.0898206237465184,0.205043113274556,0.579035436447205,0.796502915145163,-7.80265920604329,2.28135713186661
"15",-13.3884201794068,-41400.2640550462,-41413.6524752256,0.809950318567618,0.630955818410033,0.779893800784697,0.144094877133111,-7.66091722232249,2.37648675364262
