"","ess","acceptance_rate"
"log_prior",7.45241493352268,0.121212121212121
"log_likelihood",4.00888446665042,0.131313131313131
"log_posterior",4.02586344934737,0.131313131313131
"time_shift",7.1674151168961,0.121212121212121
"beta_0",6.99967973546991,0.121212121212121
"beta_1",6.28728201668316,0.121212121212121
"wane",16.8278780933549,0.121212121212121
"log_delta",4.49745793002219,0.121212121212121
"sigma_2",4.12498807328598,0.121212121212121
