"","time_shift","beta_0","beta_1","wane","log_delta","sigma_2"
"time_shift",0.0557425721646268,0.0500720161167398,0.0115147259453856,-0.0266337300800256,-0.130391307181376,0.0673270407623331
"beta_0",0.0500720161167398,0.0857751369966107,0.00250600637248045,-0.0382065846620077,-0.148615629695158,0.0874811180986973
"beta_1",0.0115147259453856,0.00250600637248045,0.0226441009054862,0.000973140182360163,-0.0245808942065648,-0.00510825257774815
"wane",-0.0266337300800256,-0.0382065846620077,0.000973140182360163,0.03783782834148,0.084681225480428,-0.0752966043771813
"log_delta",-0.130391307181376,-0.148615629695158,-0.0245808942065648,0.084681225480428,0.616229070498677,-0.828561139775236
"sigma_2",0.0673270407623331,0.0874811180986973,-0.00510825257774815,-0.0752966043771813,-0.828561139775236,2.72168656306429
